"NOTE: Coding book to accompany, Nagle, C. L. (in press). Assessing the state of the art in longitudinal L2 pronunciation research: Trends and future directions. Journal of Second Language Pronunciation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study,Authors,First Author,Year (20XX),Venue,Reason for Multiple,Total Length,Length Months,Length Bin,Data Points,Data Spacing,Unequal Specification,N Speakers,Participant Age,Participant Age Bin,Context,Immersion or SA?,Expanded Context,L1,L2,SP Construct,SP Task,SP Coding,Actual Tasks,Actual Outcome Measures,Statistical Tests,N Raters/Coders,Rater Profile
26.1,Trofimovich Lightbown Halter Song,Trofimovich,9,SSLA,"Groups (Class Type), SP Construct",1 year,10,8–12,2,Equal,,74,8.5,Child,Foreign,,FL,French,English,Production - Specific,Production - Controlled,Production - Coded,Elicited Imitation,"Repetition Accuracy, Pronunciation Error Ratio, Speech Rate",ANOVA,,
26.2,Trofimovich Lightbown Halter Song,Trofimovich,9,SSLA,"Groups (Class Type), SP Construct",1 year,10,8–12,2,Equal,,74,8.5,Child,Foreign,,FL,French,English,Production - Global,Production - Controlled,Production - Rated,Elicited Imitation,"Accentedness, Comprehensibility, And Fluency (9-Point Scales)",ANOVA,20,Expert/Trained
26.3,Trofimovich Lightbown Halter Song,Trofimovich,9,SSLA,"Groups (Class Type), SP Construct",1 year,10,8–12,2,Equal,,74,8.3,Child,Foreign,,FL,French,English,Production - Specific,Production - Controlled,Production - Coded,Elicited Imitation,"Repetition Accuracy, Pronunciation Error Ratio, Speech Rate",ANOVA,,
26.4,Trofimovich Lightbown Halter Song,Trofimovich,9,SSLA,"Groups (Class Type), SP Construct",1 year,10,8–12,2,Equal,,74,8.3,Child,Foreign,,FL,French,English,Production - Global,Production - Controlled,Production - Rated,Elicited Imitation,"Accentedness, Comprehensibility, And Fluency (9-Point Scales)",ANOVA,20,Expert/Trained
27.1,Baker-Smemoe Haslam,Baker-Smemoe,13,AL,Groups (SL vs. FL),10 weeks,2.5,0–4,2,Equal,,31,25.79,Adult,Second,,SL,Various,English,Production - Global,Production - Controlled,Production - Rated,"Sentence Reading, Open-Ended Response (Note: These were combined for the purpose of analysis)","Comprehensibility Scale (1 = Very Difficult To Understand, 7 = Near Native)",ANOVA,2,Expert/Trained
27.2,Baker-Smemoe Haslam,Baker-Smemoe,13,AL,Groups (SL vs. FL),10 weeks,2.5,0–4,2,Equal,,31,25.41,Adult,Foreign,,FL,Mandarin,English,Production - Global,Production - Controlled,Production - Rated,"Sentence Reading, Open-Ended Response (Note: These were combined for the purpose of analysis)","Comprehensibility Scale (1 = Very Difficult To Understand, 7 = Near Native)",ANOVA,2,Expert/Trained
28,Buss Cardoso Kennedy,Buss,15,PSLLT,,6 months,6,4–8,4,Equal,,4,24.5,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Spontaneous,Production - Coded,Short Presentation,"Paratones, Mid-Utterance Pitch Boundaries",Descriptive,,
29.1,Casillas,Casillas,19,LS,Perception-Production,8 weeks,2,0–4,8,Equal,,10,23.7,Adult,Second,Yes,SL SA,English,Spanish,Perception,Perception,Perception,Label VOT Continuum,Perceptual Boundary,Mixed models,,
29.2,Casillas,Casillas,19,LS,Perception-Production,8 weeks,2,0–4,8,Equal,,10,23.7,Adult,Second,Yes,SL SA,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Delayed Word Repetition,VOT,Mixed models,,
30,Chang,Chang,12,JPhon,,5 weeks,1.25,0–4,5,Equal,,19,22.1,Adult,Second,Yes,SL SA,English,Korean,Production - Specific,Production - Controlled,Production - Coded,Word Reading,"Acoustic Analysis (Word-Initial Stop VOT, Onset F0, F1 F2 At Vowel Midpoint)",Mixed models,,
